match_id,radiant_win
0,1
1,1
2,0
3,0
4,0
5,0
8,0
9,1
11,0
12,0
14,1
15,0
17,1
20,1
21,0
22,1
23,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
34,1
35,0
36,0
38,0
39,0
40,0
43,1
44,1
45,0
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,0
54,1
56,1
57,0
58,0
59,1
61,0
65,1
66,0
67,0
68,0
69,0
70,1
73,0
74,1
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,0
84,0
86,1
87,0
88,0
90,1
91,1
93,1
94,0
95,1
96,0
97,1
98,0
99,1
101,1
103,0
104,0
105,0
106,0
107,0
109,1
110,1
112,1
113,0
114,0
115,1
116,1
117,1
118,0
119,0
120,1
121,1
122,1
123,1
124,1
125,0
127,0
128,1
129,1
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,1
139,0
142,0
143,0
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,0
154,0
155,1
156,0
157,0
158,0
161,1
162,1
164,1
165,1
166,0
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,0
175,0
176,0
177,1
180,1
182,0
183,0
184,0
185,1
186,1
187,0
188,0
189,1
190,0
191,1
192,1
193,0
194,0
195,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,1
207,1
208,1
210,1
211,1
212,0
213,0
214,1
215,1
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,0
227,1
229,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
243,0
244,0
246,0
247,0
248,1
249,0
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,1
260,1
262,0
263,0
264,0
265,1
266,0
267,1
268,0
269,1
270,1
271,1
272,1
273,0
275,1
276,0
277,1
278,0
279,0
280,1
281,0
283,1
284,1
285,1
286,0
287,1
288,1
290,0
291,1
292,1
293,0
294,1
295,1
298,0
299,0
300,1
301,0
303,0
305,1
306,1
307,1
308,0
309,0
310,0
311,1
312,0
314,1
315,1
318,0
319,0
320,0
321,0
322,0
323,1
324,0
325,1
326,1
327,1
328,0
329,1
330,0
331,0
332,0
333,1
334,0
335,0
336,1
337,0
338,1
339,0
340,0
341,0
342,0
343,0
345,1
346,0
347,0
349,0
350,1
351,1
353,1
355,0
356,0
357,1
358,1
359,0
360,0
364,1
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,0
374,1
376,0
377,1
378,0
379,1
381,0
382,0
383,0
385,0
386,0
387,1
388,0
389,1
390,0
391,0
392,1
393,0
395,0
396,1
397,1
398,1
400,0
401,0
402,1
403,0
405,1
407,0
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,1
426,1
427,1
428,0
429,1
431,1
433,0
434,1
435,1
436,1
437,1
438,0
439,1
440,0
441,1
442,1
444,1
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,0
464,0
465,0
466,0
468,0
469,0
470,0
471,0
472,0
473,0
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,1
485,1
486,1
487,1
489,0
490,0
491,1
492,1
493,0
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,1
504,1
505,1
506,1
510,0
511,0
512,0
513,0
514,0
515,0
517,0
518,1
519,0
520,1
521,1
522,0
523,1
524,1
525,0
526,0
527,0
529,1
530,0
531,1
532,1
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,0
543,1
544,1
545,1
546,1
548,1
549,1
550,1
551,0
553,1
554,1
556,0
557,1
558,0
559,0
560,1
562,0
563,1
564,1
565,1
566,0
567,0
568,0
570,0
571,0
572,1
573,0
574,0
577,0
578,1
579,0
580,0
581,0
583,1
584,0
587,1
588,0
589,0
591,1
593,1
594,1
595,0
596,0
597,1
602,0
604,0
605,0
606,1
607,0
608,0
609,0
610,1
611,1
612,0
613,0
614,0
615,1
616,0
618,0
619,1
620,1
621,1
622,0
623,1
624,1
625,0
626,1
627,1
629,0
630,1
631,0
632,1
633,1
636,1
637,0
638,1
640,1
641,0
642,1
643,0
645,1
647,1
648,0
649,0
651,1
652,1
653,0
654,0
655,0
656,1
657,1
658,1
660,1
661,0
662,0
664,1
665,1
666,0
667,0
669,1
671,0
672,1
673,0
674,1
675,0
676,0
677,1
680,1
681,0
682,0
683,1
684,0
685,1
687,0
688,0
689,1
690,0
691,0
692,0
693,1
695,0
697,1
698,0
699,1
700,0
701,0
703,0
704,1
705,1
706,0
707,1
708,0
710,0
711,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,0
721,0
722,0
724,1
725,0
726,0
727,0
728,1
730,1
731,0
732,0
734,0
736,1
738,0
739,0
740,0
741,1
742,0
743,0
744,1
745,0
746,0
747,1
748,0
750,1
751,0
753,0
754,0
755,1
756,0
757,1
758,1
759,0
760,1
761,0
762,1
763,1
764,1
765,0
766,0
768,0
769,1
770,1
772,0
773,1
774,1
775,0
776,0
777,0
779,1
781,0
782,0
783,1
784,0
785,1
786,0
787,0
788,0
789,1
791,0
792,0
793,1
794,1
795,0
796,0
798,0
799,0
800,0
801,1
803,1
804,1
806,1
809,0
810,0
812,1
813,0
814,0
816,1
817,0
818,1
819,1
821,0
822,1
823,1
824,1
825,0
826,0
827,0
828,1
829,0
830,0
831,0
832,1
833,0
834,1
835,1
836,1
837,0
839,0
840,1
841,0
842,0
843,1
844,1
845,1
846,1
847,1
848,0
849,1
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,1
858,1
859,1
860,0
862,0
863,0
864,1
865,1
866,1
867,0
868,0
869,1
870,0
871,1
872,1
873,0
874,0
875,1
876,1
877,1
878,1
879,1
880,1
881,0
882,1
883,1
884,0
885,0
887,1
888,1
890,1
891,1
892,0
893,0
894,1
895,1
896,0
897,1
898,0
899,1
900,1
901,0
902,0
903,1
905,0
906,1
907,1
908,0
909,1
910,0
911,0
912,1
914,1
915,0
916,0
917,1
918,1
919,0
920,0
921,0
922,0
923,0
924,1
925,1
926,1
927,0
929,0
930,0
933,0
934,0
935,0
936,0
937,1
938,0
939,0
940,1
941,1
942,1
943,0
944,1
946,1
947,1
948,1
949,0
950,1
951,1
952,1
954,0
956,0
957,0
958,0
959,0
960,0
961,1
962,0
963,0
964,1
965,0
966,0
967,1
